Case ID,Create Fine|Create Fine,Send Fine|Insert Fine Notification,Appeal to Judge|Appeal to Judge,Appeal to Judge|Send for Credit Collection,Payment|Create Fine,Insert Fine Notification|Send Fine,Create Fine|Insert Fine Notification,Create Fine|Payment,Send Fine|Create Fine,Send Fine|Payment,Insert Fine Notification|Add penalty,Add penalty|Send for Credit Collection,Payment|Insert Date Appeal to Prefecture,Send Fine|Appeal to Judge,Insert Fine Notification|Create Fine,Payment|Appeal to Judge,Create Fine|Send Fine,Add penalty|Payment,Appeal to Judge|Create Fine,Add penalty|Insert Fine Notification,Create Fine|Appeal to Judge,Insert Date Appeal to Prefecture|Create Fine,Payment|Insert Fine Notification,Add penalty|Send Fine,Create Fine|Send for Credit Collection,Insert Fine Notification|Payment,Payment|Send for Credit Collection,Appeal to Judge|Payment,Send for Credit Collection|Send Fine,Send Fine|Send Appeal to Prefecture,Payment|Send Fine,Insert Fine Notification|Send for Credit Collection,Send for Credit Collection|Send for Credit Collection,Insert Fine Notification|Insert Fine Notification,Appeal to Judge|Send Fine,Send Fine|Send Fine,Insert Fine Notification|Insert Date Appeal to Prefecture,Send Appeal to Prefecture|Insert Fine Notification,Add penalty|Add penalty,Send Fine|Send for Credit Collection,Send Fine|Add penalty,Send for Credit Collection|Add penalty,Add penalty|Insert Date Appeal to Prefecture,Send for Credit Collection|Insert Fine Notification,Create Fine|Add penalty,Payment|Payment,Send for Credit Collection|Create Fine,Send for Credit Collection|Payment,Payment|Add penalty,Add penalty|Create Fine,Insert Fine Notification|Appeal to Judge,Insert Date Appeal to Prefecture|Send Appeal to Prefecture,Add penalty|Appeal to Judge,Appeal to Judge|Insert Fine Notification,Appeal to Judge|Add penalty
case 0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 10,1.0,0.7,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.7,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9411699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16806999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 105,1.0,0.7,0.0,0.0,0.0,0.0,0.16806999999999994,1.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7010699999999999,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
