Case ID,Activity,Variant,Variant index,amount:low,amount:high,dismissal:low,dismissal:high,points:low,points:high,paymentAmount:low,paymentAmount:high,expense:low,expense:high
case 0,Create Fine,Variant 64,64,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 1,Create Fine,Variant 65,65,38.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 1,Payment,Variant 65,65,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 2,Create Fine,Variant 66,66,-9223372036854775808.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 2,Payment,Variant 66,66,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 2,Payment,Variant 66,66,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 3,Create Fine,Variant 40,40,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 3,Send Fine,Variant 40,40,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 3,Insert Fine Notification,Variant 40,40,,,,,,,,,,
case 4,Create Fine,Variant 40,40,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 4,Send Fine,Variant 40,40,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 4,Insert Fine Notification,Variant 40,40,,,,,,,,,,
case 5,Create Fine,Variant 40,40,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 5,Send Fine,Variant 40,40,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 5,Insert Fine Notification,Variant 40,40,,,,,,,,,,
case 6,Create Fine,Variant 67,67,38.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 6,Payment,Variant 67,67,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 6,Payment,Variant 67,67,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 6,Payment,Variant 67,67,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 7,Create Fine,Variant 72,72,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 7,Payment,Variant 72,72,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 7,Send Fine,Variant 72,72,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 7,Insert Fine Notification,Variant 72,72,,,,,,,,,,
case 8,Create Fine,Variant 7,7,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 8,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 8,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 8,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 9,Create Fine,Variant 34,34,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 9,Send Fine,Variant 34,34,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 9,Payment,Variant 34,34,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 9,Insert Fine Notification,Variant 34,34,,,,,,,,,,
case 10,Create Fine,Variant 7,7,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 10,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 10,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 10,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 11,Create Fine,Variant 24,24,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 11,Send Fine,Variant 24,24,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 11,Insert Fine Notification,Variant 24,24,,,,,,,,,,
case 11,Add penalty,Variant 24,24,39.00,39.35,,,,,,,,
case 12,Create Fine,Variant 34,34,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 12,Send Fine,Variant 34,34,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
